Year,Independents,Pups,Total
1983,1156,121,1277
1984,1180,123,1303
1985,1119,242,1361
1986,1358,228,1586
1987,1436,226,1662
1988,1504,221,1725
1989,1571,285,1856
1990,1466,214,1680
1991,1700,241,1941
1992,1810,291,2101
1993,2022,217,2239
1994,2076,283,2359
1995,2095,282,2377
1996,1963,315,2278
1997,1919,310,2229
1998,1955,159,2114
1999,1858,232,2090
2000,2053,264,2317
2001,1863,298,2161
2002,1846,293,2139
2003,2270,235,2505
2004,2495,330,2825
2005,2417,318,2735
2006,2369,323,2692
2007,2637,389,3026
2008,2434,326,2760
2009,2263,391,2654
2010,2452,267,2719
2011,NA,NA,NA
2012,2486,379,2865
2013,2444,455,2899
2014,2410,469,2879
2015,2688,505,3193
2016,"3,078",433,3511
2017,2211,396,2607
2018,2438,548,2986
2019,2583,413,2996
